All I Want for Christmas Is You,Mariah Carey,Christmas Music
Last Christmas,Wham!,Christmas Music
Santa Tell Me,Ariana Grande,Christmas Music
Underneath the Tree,Kelly Clarkson,Christmas Music
Mistletoe,Justin Bieber,Christmas Music
Christmas Lights,Coldplay,Christmas Music
Mary  Did You Know?,Pentatonix,Christmas Music
It's Beginning to Look a Lot Like Christmas,Michael Bublé,Christmas Music
Rockin' Around the Christmas Tree,Brenda Lee,Christmas Music
Do They Know It's Christmas?,Band Aid,Christmas Music
Happy Xmas (War Is Over),John Lennon & Yoko Ono,Christmas Music
Little Drummer Boy,Pentatonix,Christmas Music
Last Christmas (Cover),Taylor Swift,Christmas Music
Christmas (Baby Please Come Home),Michael Buble,Christmas Music
The Christmas Song (Chestnuts Roasting on an Open Fire),Nat King Cole,Christmas Music
Wonderful Christmastime,Paul McCartney,Christmas Music
Carol of the Bells,Pentatonix,Christmas Music
Joy to the World,Casting Crowns,Christmas Music
This Christmas,Chris Brown,Christmas Music
It's the Most Wonderful Time of the Year,Andy Williams,Christmas Music
Body Like a Back Road,Sam Hunt,Country Music
Cruise,Florida Georgia Line,Country Music
Wagon Wheel,Darius Rucker,Country Music
Humble and Kind,Tim McGraw,Country Music
Die a Happy Man,Thomas Rhett,Country Music
Girl Crush,Little Big Town,Country Music
Take Your Time,Sam Hunt,Country Music
Dirt Road Anthem,Jason Aldean,Country Music
Drunk on a Plane,Dierks Bentley,Country Music
Chicken Fried,Zac Brown Band,Country Music
Speechless,Dan + Shay,Country Music
Huntin'  Fishin' and Lovin' Every Day,Luke Bryan,Country Music
My Church,Maren Morris,Country Music
Cry Pretty,Carrie Underwood,Country Music
Tennessee Whiskey,Chris Stapleton,Country Music
Need You Now,Lady A,Country Music
The House That Built Me,Miranda Lambert,Country Music
Blue Ain't Your Color,Keith Urban,Country Music
Wanted,Hunter Hayes,Country Music
Beer Never Broke My Heart,Luke Combs,Country Music
Electric Feel,MGMT,Indie Rock Music
Take Me Out,Franz Ferdinand,Indie Rock Music
Lisztomania,Phoenix,Indie Rock Music
Pumped Up Kicks,Foster The People,Indie Rock Music
Little Dark Age,MGMT,Indie Rock Music
1901,Phoenix,Indie Rock Music
Dog Days Are Over,Florence + The Machine,Indie Rock Music
Do I Wanna Know?,Arctic Monkeys,Indie Rock Music
Float On,Modest Mouse,Indie Rock Music
Shut Up and Dance,WALK THE MOON,Indie Rock Music
Riptide,Vance Joy,Indie Rock Music
Ho Hey,The Lumineers,Indie Rock Music
Sweater Weather,The Neighbourhood,Indie Rock Music
Young Folks,Peter Bjorn and John,Indie Rock Music
Some Nights,fun.,Indie Rock Music
Shake It Out,Florence + The Machine,Indie Rock Music
Anna Sun,WALK THE MOON,Indie Rock Music
Tongue Tied,Grouplove,Indie Rock Music
The Cave,Mumford & Sons,Indie Rock Music
Sleepyhead,Passion Pit,Indie Rock Music
Shape of You,Ed Sheeran,Pop Music
Blinding Lights,The Weeknd,Pop Music
Uptown Funk,Mark Ronson ft. Bruno Mars,Pop Music
Dance Monkey,Tones and I,Pop Music
Someone You Loved,Lewis Capaldi,Pop Music
Despacito,Luis Fonsi ft. Daddy Yankee,Pop Music
Bad Guy,Billie Eilish,Pop Music
Happy,Pharrell Williams,Pop Music
Senorita,Shawn Mendes &  Camila Cabello,Pop Music
Dynamite,BTS,Pop Music
Watermelon Sugar,Harry Styles,Pop Music
Rain On Me,Lady Gaga &  Ariana Grande,Pop Music
Old Town Road,Lil Nas X ft. Billy Ray Cyrus,Pop Music
7 Rings,Ariana Grande,Pop Music
Can't Stop the Feeling,Justin Timberlake,Pop Music
Perfect,Ed Sheeran,Pop Music
Wrecking Ball,Miley Cyrus,Pop Music
Havana,Camila Cabello ft. Young Thug,Pop Music
Stressed Out,Twenty One Pilots,Pop Music
Rolling in the Deep,Adele,Pop Music
songname,artist,RnB Music
Blinding Lights,The Weeknd,RnB Music
Say So,Doja Cat,RnB Music
Adore You,H.E.R.,RnB Music
All of Me,John Legend,RnB Music
WAP,Cardi B & Megan Thee Stallion,RnB Music
Levitating,Dua Lipa,RnB Music
Heartbreak Anniversary,Giveon,RnB Music
Peaches,Justin Bieber,RnB Music
Mood,24kGoldn & iann dior,RnB Music
Essence,WizKid & Tems,RnB Music
Good Days,SZA,RnB Music
Kiss Me More,Doja Cat & SZA,RnB Music
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),RnB Music
Save Your Tears,The Weeknd & Ariana Grande,RnB Music
Rain On Me,Lady Gaga & Ariana Grande,RnB Music
Best Part,Daniel Caesar & Jhene Aiko,RnB Music
Stay,The Kid LAROI & Justin Bieber,RnB Music
Damage,Summer Walker,RnB Music
What You Know Bout Love,Pop Smoke,RnB Music
Blame It On Baby,DaBaby,RnB Music
